pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.02,16,8,2,0.9142573121774039,0.8950984515389027,0.8147237621869623,0.9999999999969735,0.9999999999969751,0.9999999999941924,4.691450403810133e-17,2.941362320837747e-17,2.0726761411333818e-12,5.002400723984187e-16,2.5097902723267384e-16,9.114274574181335e-12
0.02,17,8,2,0.9142802523418084,0.8950869814567004,0.8147390556298987,0.9999999999993947,0.999999999999395,0.9999999999988385,4.0214994476552556e-18,3.0858719970861328e-18,3.8398593927974774e-13,4.2893004590446073e-17,2.6327751211291337e-17,1.688690201853634e-12
0.02,18,8,2,0.9143567195564901,0.8950487478493596,0.814662588415217,0.999999999999879,0.999999999999879,0.9999999999997677,3.444144049989591e-19,3.2386613007078696e-19,7.11669600710601e-14,3.677085042656297e-18,2.762005867015346e-18,3.128189792086876e-13
0.02,19,8,2,0.9144359464627151,0.8948374760994264,0.8145315487571702,0.9999999999999758,0.9999999999999758,0.9999999999999535,2.946949258834307e-20,3.40585796441554e-20,1.319922586403983e-14,3.1494491241061607e-19,2.8980755042663157e-19,5.796773420702027e-14
0.02,20,8,2,0.9140811455847255,0.8949880668257757,0.8138424821002387,0.9999999999999951,0.9999999999999951,0.9999999999999907,2.531985043389858e-21,3.576557289601043e-21,2.4571351250479872e-15,2.693750754495321e-20,3.0482022354554355e-20,1.0742090738991843e-14
0.04,0,8,2,0,0,0,0,1,0,2.531985043389858e-21,3.576557289601043e-21,2.4571351250479872e-15,0,0,0
0.04,1,8,2,0.7261490370736909,0.9231163463866358,0.6703200460356393,0.7261490370736909,0.9231163463866358,0.6703200460356393,6.93386542247325e-22,2.7497879178203945e-22,8.10068194910034e-16,1.8385985011425326e-21,3.3015784978190033e-21,1.6470669301379532e-15
0.04,2,8,2,0.7406906250944661,0.8611206037377247,0.6331176490712185,0.9104803146464776,0.9545542072371623,0.8764531900452683,1.798016308380634e-22,3.8188888587619547e-23,2.971997237612277e-16,5.135849114092616e-22,2.367899031944199e-22,5.128684711488063e-16
0.04,3,8,2,0.7636826351211972,0.8245337270217376,0.6225469174760532,0.9682335378112314,0.9785296134135961,0.9517825120855956,4.2490247600562436e-23,6.700861949651703e-24,1.1217895185894086e-16,1.3731138323750097e-22,3.1488026637967843e-23,1.8502077190228683e-16
0.04,4,8,2,0.7811668726513268,0.8036500277806448,0.6196479484154404,0.9881874239930227,0.9906323120616606,0.9808978089132518,9.298273764250536e-24,1.3157140576598465e-24,4.266749448415371e-17,3.31919738363119e-23,5.3851478919918566e-24,6.951145737478714e-17
0.04,5,8,2,0.7927946100067231,0.7917092839910155,0.6191291879682106,0.9954808030831396,0.9960650958831584,0.9923882408539142,1.926652441585787e-24,2.7405102313305577e-25,1.625080327154152e-17,7.37162132266475e-24,1.0416630345267908e-24,2.641669121261219e-17
0.04,6,8,2,0.800156222738357,0.784817883915127,0.6192825328689122,0.9982406141942198,0.9983806075624988,0.9969599267511491,3.8502950139687073e-25,5.897087907299544e-26,6.186964660386882e-18,1.5416229401889164e-24,2.150801440600603e-25,1.0063838611154638e-17
0.04,7,8,2,0.8047115169685363,0.780801287257813,0.6195565072280685,0.9993076849079101,0.9993412606196538,0.9987847097644834,7.519182725015573e-26,1.2926340782075775e-26,2.353790445054092e-18,3.09837674146715e-25,4.6044538290919664e-26,3.83317421533279e-18
0.04,8,8,2,0.8074963923141767,0.7784408401311634,0.6197930112969662,0.9997257976204496,0.9997338536141567,0.9995140020410787,1.4474698014144177e-26,2.863949203854989e-27,8.949275771519901e-19,6.071712923601155e-26,1.0062391578220786e-26,1.458862867902102e-18
0.04,9,8,2,0.8091871415236465,0.7770449185627987,0.6199636414524441,0.9998909694719365,0.9998929027014912,0.9998056197107285,2.7619585036608483e-27,6.385320279774969e-28,3.4010501758462925e-19,1.1712739510483328e-26,2.225417175877492e-27,5.548225595673608e-19
0.04,10,8,2,0.8102093175592199,0.7762156366176753,0.620077488107985,0.9999565433914047,0.9999570073464428,0.9999222509069088,5.241939892829084e-28,1.4289348338016886e-28,1.2921355258783027e-19,2.23776451437794e-27,4.956385445973281e-28,2.1089146499679897e-19
0.04,11,8,2,0.8108256653734985,0.7757214079869688,0.6201503791184368,0.9999826546233976,0.9999827659706816,0.9999689008463523,9.916404913780562e-29,3.204794926034175e-29,4.908171896324725e-20,4.250299401451027e-28,1.108455341198271e-28,8.013183362458302e-20
0.04,12,8,2,0.8111966793751431,0.77542621480094,0.6201959460324195,0.9999930707811489,0.9999930975043122,0.9999875604159132,1.8722501763824185e-29,7.197129273262363e-30,1.864143583793878e-20,8.044154737398144e-29,2.4850819987079388e-29,3.0440283125308466e-20
0.04,13,8,2,0.8114197671244276,0.7752496383619514,0.6202240189125892,0.9999972304541479,0.9999972368676893,0.9999950241787448,3.530693742635279e-30,1.6175574069215022e-30,7.079569584231221e-21,1.5191808021188906e-29,5.579571866340861e-30,1.1561866253707559e-20
0.04,14,8,2,0.8115538108268615,0.775143908747048,0.6202411557024583,0.9999988926953556,0.9999988942346038,0.9999980096734785,6.653457809370641e-31,3.6371763589762977e-31,2.6885291634316762e-21,2.8653479616982147e-30,1.2538397710238724e-30,4.3910404207995444e-21
0.04,15,8,2,0.811634313343643,0.7750805576321147,0.6202515550216816,0.9999995572013801,0.9999995575707995,0.9999992038697082,1.2532831489012016e-31,8.180716784546042e-32,1.0209647690920383e-21,5.400174660469439e-31,2.8191046805216936e-31,1.6675643943396379e-21
0.04,16,8,2,0.8116826452009771,0.775042581586327,0.620257841540747,0.9999998229101212,0.9999998229987819,0.9999996815479341,2.3601496741526422e-32,1.8403129286248816e-32,3.877033651258634e-22,1.0172681814859374e-31,6.34040385592116e-32,6.332614039661749e-22
0.04,17,8,2,0.8117116564926243,0.7750198097348346,0.6202616320347388,0.9999999291711439,0.9999999291924224,0.9999998726191817,4.443886725756734e-33,4.140339528294696e-33,1.4722584312753512e-22,1.9157610015769688e-32,1.426278975795412e-32,2.404775219983283e-22
0.04,18,8,2,0.8117290686730603,0.7750061522067185,0.6202639133958671,0.9999999716701602,0.9999999716752671,0.9999999490476741,8.366546925696453e-34,9.315509216416436e-34,5.590696551624417e-23,3.6072320331870887e-33,3.208788606653052e-33,9.131887761129095e-23
0.04,19,8,2,0.8117395166915795,0.774997958764569,0.6202652838200158,0.9999999886684727,0.9999999886696983,0.99999997961907,1.5750901678541936e-34,2.096008588841168e-34,2.1229815682795144e-23,6.791456757842259e-34,7.219500627575268e-34,3.467714983344902e-23
0.04,20,8,2,0.8117457848231682,0.7749930439911845,0.6202661049376098,0.9999999954674871,0.9999999954677813,0.999999991847628,2.965173633821355e-35,4.716165123434842e-35,8.061680600684417e-24,1.278572804472058e-34,1.6243920764976839e-34,1.3168135082110727e-23
0.06,0,8,2,0,0,0,0,1,0,2.965173633821355e-35,4.716165123434842e-35,8.061680600684417e-24,0,0,0
0.06,1,8,2,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.6187833918061408,0.8869204367171575,0.5488116360940264,1.1303734353912372e-35,5.33301892527785e-36,3.6373364805553285e-24,1.8348001984301179e-35,4.1828632309070565e-35,4.424344120129089e-24
0.06,2,8,2,0.6195045712616628,0.7870301036528456,0.48195252607863776,0.8215573607572773,0.9048155362924057,0.7628353847573824,4.301019249336159e-36,1.1357724877338363e-36,1.8843129755537063e-24,7.002715104576213e-36,4.1972464375440134e-36,1.7530235050016222e-24
0.06,3,8,2,0.6363059813326156,0.7230864606944494,0.45282953416077293,0.9074883027286416,0.9351001348900213,0.8673620767438179,1.5642549751568446e-36,3.1451077942424666e-37,1.0310404086206216e-24,2.7367642741793144e-36,8.212617083095896e-37,8.532725669330847e-25
0.06,4,8,2,0.6505386538273399,0.6840656719469606,0.43797339390251405,0.949145095984443,0.958626892300547,0.9235015933982391,5.466466493755919e-37,9.936475176283708e-38,5.794721416064131e-25,1.0176083257812528e-36,2.151460276614096e-37,4.515682670142085e-25
0.06,5,8,2,0.660329469900561,0.6605440960580865,0.42982458395396406,0.9710521284072815,0.9743724266717073,0.955138384311358,1.8567975717048949e-37,3.37299516296177e-38,3.30400769427524e-25,3.6096689220510236e-37,6.563480013321938e-38,2.490713721788891e-25
0.06,6,8,2,0.666612273406579,0.6464148381662834,0.4251806840588233,0.9831728970560637,0.9843487935098507,0.9734420636347105,6.190335211748795e-38,1.1926410405601808e-38,1.8992074426876781e-25,1.2377640505300153e-37,2.1803541224015893e-38,1.4048002515875619e-25
0.06,7,8,2,0.6705209141075232,0.6379358769613575,0.42247703250479757,0.9900942343295971,0.9905134524432762,0.9841915248256254,2.0395859869350046e-38,4.3181253245031593e-39,1.0968359181899627e-25,4.15074922481379e-38,7.60828508109865e-39,8.023715244977155e-26
0.06,8,8,2,0.6729145091254596,0.6328488992719492,0.4208834804022451,0.99412417733828,0.9942742204105937,0.990559756427854,6.6711898371747e-39,1.5854044659730066e-39,6.35195799511979e-26,1.3724670032175348e-38,2.7327208585301527e-39,4.616401186779837e-26
0.06,9,8,2,0.6743677597659039,0.6297970445265532,0.41993742612912766,0.9964986556236869,0.9965524834565873,0.9943518648886072,2.172354491706132e-39,5.869214189240087e-40,3.684533103768851e-26,4.498835345468567e-39,9.98483047048998e-40,2.667424891350939e-26
0.06,10,8,2,0.6752457934779336,0.6279660908803654,0.41937337229384153,0.997907844329169,0.9979271819945413,0.9966168547094895,7.054812592386718e-40,2.1835466982834168e-40,2.1393380307130133e-26,1.4668732324674603e-39,3.68566749095667e-40,1.5451950730558377e-26
0.06,11,8,2,0.6757747887294071,0.6268675844682755,0.4190362179220913,0.9987478117601222,0.9987547646266746,0.9979721716533657,2.287348103241023e-40,8.147520539568129e-41,1.2428779134661376e-26,4.7674644891456956e-40,1.3687946443266038e-40,8.964601172468757e-27
0.06,12,8,2,0.6760929656837467,0.626208506113111,0.4188343831258457,0.99924980293869,0.999252304096012,0.9987840428677254,7.408881405697071e-41,3.0454738739592833e-41,7.223179092788097e-27,1.5464599626713157e-40,5.102046665608846e-41,5.20560004187328e-27
0.06,13,8,2,0.6762841518970419,0.6258130686668019,0.41871344658736137,0.9995502830550859,0.9995511830671943,0.9992706917952388,2.398372327739463e-41,1.1395765233522511e-41,4.198736879529022e-27,5.010509077957608e-41,1.905897350607032e-41,3.0244422132590747e-27
0.06,14,8,2,0.6763989642912276,0.6255758097272002,0.4186409437232816,0.9997303142062576,0.9997306381232898,0.9995625108034624,7.761157692717496e-42,4.26685017010059e-42,2.4409737098372457e-27,1.6222565584677135e-41,7.128915063421921e-42,1.7577631696917762e-27
0.06,15,8,2,0.6764678879354414,0.6254334556513679,0.41859746324380986,0.9998382404782808,0.9998383570695565,0.9997375409304867,2.5109837403909878e-42,1.5982193234679513e-42,1.419188307054543e-27,5.250173952326508e-42,2.6686308466326388e-42,1.0217854027827027e-27
0.06,16,8,2,0.6765092551503424,0.6253480436734288,0.41857138259724447,0.9999029629863172,0.9999030049551043,0.9998425369568985,8.122800004844599e-43,5.9877599617619705e-43,8.251566952048802e-28,1.698703739906528e-42,9.994433272917543e-43,5.940316118496629e-28
0.06,17,8,2,0.6765340801676535,0.6252967966560324,0.4185557369597851,0.9999417845226314,0.9999417996305153,0.9999055266370284,2.6274489751812468e-43,2.243632838526963e-43,4.797826265361008e-28,5.495351029663352e-43,3.744127123235007e-43,3.453740686687793e-28
0.06,18,8,2,0.6765489768649198,0.6252660485063516,0.41854635056602735,0.999965073136482,0.9999650785751304,0.9999433175887256,8.498510592575923e-44,8.407653992821196e-44,2.7897135913443256e-28,1.7775979159236545e-43,1.4028674392448435e-43,2.0081126740166828e-28
0.06,19,8,2,0.6765579154899396,0.6252475996392266,0.41854071908565665,0.9999790447540912,0.9999790467119636,0.9999659911315499,2.7487759812935853e-44,3.150788515212584e-44,1.6221048587800417e-28,5.749734611282338e-44,5.256865477608612e-44,1.1676087325642839e-28
0.06,20,8,2,0.6765632788880183,0.6252365303287604,0.4185373403260456,0.9999874271664381,0.9999874278712633,0.9999795948871172,8.890550904609673e-45,1.1808004361613614e-44,9.431934054562872e-29,1.859720890832618e-44,1.9699880790512226e-44,6.789114533237545e-29
0.08,0,8,2,0,0,0,0,1,0,8.890550904609673e-45,1.1808004361613614e-44,9.431934054562872e-29,0,0,0
0.08,1,8,2,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.5272924240430485,0.8521437889662113,0.44932896411722156,4.20263076703992e-45,1.7458867847786394e-45,5.193892896204191e-29,4.6879201375697527e-45,1.0062117576834974e-44,4.2380411583586814e-29
0.08,2,8,2,0.5103824741159977,0.7126823382521806,0.3592354000861762,0.7216681712247384,0.8434444909071444,0.6436907766286843,2.0576816783620725e-45,5.016241086790171e-46,3.3280627036315306e-29,2.1449490886778473e-45,1.2442626760996223e-45,1.8658301925726604e-29
