pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.04,10,8,2,0.8102093175592199,0.7762156366176753,0.620077488107985,0.9999565433914047,0.9999570073464428,0.9999222509069088,2.0702886482343115e-7,3.995280148192686e-8,5.2587076417015026e-5,8.837984727516355e-7,1.3857978622023286e-7,8.582819188370046e-5
0.04,11,8,2,0.8108256653734985,0.7757214079869688,0.6201503791184368,0.9999826546233976,0.9999827659706816,0.9999689008463523,3.91645477514525e-8,8.960558063342705e-9,1.9975181040272947e-5,1.6786431707197865e-7,3.099224341858415e-8,3.261189537674208e-5
0.04,12,8,2,0.8111966793751431,0.77542621480094,0.6201959460324195,0.9999930707811489,0.9999930975043122,0.9999875604159132,7.3943966662450065e-9,2.0123064417808296e-9,7.586654737832019e-6,3.177015108520749e-8,6.948251621561875e-9,1.2388526302440928e-5
0.04,13,8,2,0.8114197671244276,0.7752496383619514,0.6202240189125892,0.9999972304541479,0.9999972368676893,0.9999950241787448,1.3944370452948392e-9,4.5226660051681633e-10,2.8812292462316085e-6,5.9999596209501675e-9,1.5600398412640133e-9,4.70542549160041e-6
0.04,14,8,2,0.8115538108268615,0.775143908747048,0.6202411557024583,0.9999988926953556,0.9999988942346038,0.9999980096734785,2.6277634722766356e-10,1.0169489999647165e-10,1.094172288705193e-6,1.1316606980671757e-9,3.5057170052034467e-10,1.7870569575264156e-6
0.04,15,8,2,0.811634313343643,0.7750805576321147,0.6202515550216816,0.9999995572013801,0.9999995575707995,0.9999992038697082,4.9498047082588136e-11,2.2873160198864264e-11,4.1551022517416465e-7,2.1327830014507542e-10,7.882173979760738e-11,6.786620635310283e-7
0.04,16,8,2,0.8116826452009771,0.775042581586327,0.620257841540747,0.9999998229101212,0.9999998229987819,0.9999996815479341,9.32134129431049e-12,5.14548706929888e-12,1.577867497695275e-7,4.0176705788277644e-11,1.7727673129565384e-11,2.577234754046372e-7
0.04,17,8,2,0.8117116564926243,0.7750198097348346,0.6202616320347388,0.9999999291711439,0.9999999291924224,0.9999998726191817,1.7550999115726193e-12,1.1576326598578101e-12,5.991768284402342e-8,7.566241382737871e-12,3.98785440944107e-12,9.786906692550408e-8
0.04,18,8,2,0.8117290686730603,0.7750061522067185,0.6202639133958671,0.9999999716701602,0.9999999716752671,0.9999999490476741,3.304342949236066e-13,2.604602264725797e-13,2.2752906401577048e-8,1.4246656166490127e-12,8.971724333852304e-13,3.716477644244637e-8
0.04,19,8,2,0.8117395166915795,0.774997958764569,0.6202652838200158,0.9999999886684727,0.9999999886696983,0.99999997961907,6.220772006399533e-14,5.860408261697308e-14,8.640068454672607e-9,2.682265748596113e-13,2.0185614385560665e-13,1.4112837946904441e-8
0.04,20,8,2,0.8117457848231682,0.7749930439911845,0.6202661049376098,0.9999999954674871,0.9999999954677813,0.999999991847628,1.1710865518587496e-14,1.318632623933425e-14,3.2809268478985154e-9,5.049685454540783e-14,4.541775637763883e-14,5.359141606774092e-9
0.06,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.06,1,8,2,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.38121660819385916,0.11307956328284252,0.4511883639059736,0.6187833918061408,0.8869204367171575,0.5488116360940264
0.06,2,8,2,0.6195045712616628,0.7870301036528456,0.48195252607863776,0.8215573607572773,0.9048155362924057,0.7628353847573824,0.14505117677689716,0.024082542871328452,0.233736992184202,0.236165431416962,0.08899702041151407,0.21745137172177162
0.06,3,8,2,0.6363059813326156,0.7230864606944494,0.45282953416077293,0.9074883027286416,0.9351001348900213,0.8673620767438179,0.0527542453944229,0.00666878218197722,0.1278939788972896,0.09229693138247426,0.017413760689351233,0.1058430132869124
0.06,4,8,2,0.6505386538273399,0.6840656719469606,0.43797339390251405,0.949145095984443,0.958626892300547,0.9235015933982391,0.018435569611857883,0.002106897217595055,0.07187981889994716,0.03431867578256502,0.004561884964382165,0.05601415999734244
0.06,5,8,2,0.660329469900561,0.6605440960580865,0.42982458395396406,0.9710521284072815,0.9743724266717073,0.955138384311358,0.006262019702744877,7.151986995114319e-4,0.040984105646591086,0.012173549909113006,0.0013916985180836233,0.03089571325335607
0.06,6,8,2,0.666612273406579,0.6464148381662834,0.4251806840588233,0.9831728970560637,0.9843487935098507,0.9734420636347105,0.0020876805125813244,2.5288364791001326e-4,0.023558455572234405,0.0041743391901635524,4.623150516014186e-4,0.01742565007435668
0.06,7,8,2,0.6705209141075232,0.6379358769613575,0.42247703250479757,0.9900942343295971,0.9905134524432762,0.9841915248256254,6.87847066920832e-4,9.15600962113518e-5,0.013605549171680702,0.0013998334456604923,1.6132355169866147e-4,0.009952906400553702
0.06,8,8,2,0.6729145091254596,0.6328488992719492,0.4208834804022451,0.99412417733828,0.9942742204105937,0.990559756427854,2.249847955304132e-4,3.361639010676405e-5,0.007879198283519845,4.6286227139041885e-4,5.7943706104587754e-5,0.005726350888160857
0.06,9,8,2,0.6743677597659039,0.6297970445265532,0.41993742612912766,0.9964986556236869,0.9965524834565873,0.9943518648886072,7.32623029871785e-5,1.244488696987239e-5,0.004570428036377481,1.517224925432347e-4,2.1171503136891658e-5,0.003308770247142364
0.06,10,8,2,0.6752457934779336,0.6279660908803654,0.41937337229384153,0.997907844329169,0.9979271819945413,0.9966168547094895,2.379224107458037e-5,4.6299199479536295e-6,0.0026537122179355367,4.947006191259812e-5,7.81496702191876e-6,0.0019167158184419447
0.06,11,8,2,0.6757747887294071,0.6268675844682755,0.4190362179220913,0.9987478117601222,0.9987547646266746,0.9979721716533657,7.7140443890067e-6,1.7275732138984541e-6,0.001541710686678185,1.6078196685573672e-5,2.9023467340551754e-6,0.0011120015312573517
0.06,12,8,2,0.6760929656837467,0.626208506113111,0.4188343831258457,0.99924980293869,0.999252304096012,0.9987840428677254,2.4986332406270945e-6,6.457521724220772e-7,8.959892422648035e-4,5.215411148379605e-6,1.0818210414763768e-6,6.457214444133815e-4
