pin,t,lin,lout,hazard_1,hazard_2,hazard_b,ce_1,ce_2,S_1,S_2,S_b,p_1,p_2,p_b,e_1,e_2
0.05,12,8,2,0.7086253608034566,0.7096835425026619,0.5000399993118716,0.9997972586530869,0.9997982367639112,6.528300054774409e-7,3.925064631564859e-8,1.5999298194635522e-4,1.587687588221172e-6,9.594887579896825e-8,1.6001858243108733e-4,0.999512944046471,0.9995280953502835
0.05,13,8,2,0.7088204853946546,0.7094554156612481,0.5000199985893616,0.999898732265549,0.9998990256691241,1.9009072411472623e-7,1.1404062718807482e-8,7.999329133923093e-5,4.627392813627147e-7,2.784658359684111e-8,7.99996906071243e-5,0.9997569608724678,0.999761963979081
0.05,14,8,2,0.7089392181266665,0.7093201826591645,0.5000099990275833,0.9999493967535195,0.9999494847701418,5.532795478770035e-8,3.3149308680463907e-9,3.999584581448889e-5,1.3476276932702588e-7,8.089131850761093e-9,3.999744552474204e-5,0.999878669893603,0.9998803045275049
0.05,15,8,2,0.709011285116299,0.7092398657483139,0.5000049994468765,0.9999747074982827,0.9999747339026018,1.609981046081644e-8,9.63849744228227e-10,1.9997722950138013e-5,3.922814432688391e-8,2.3510811238181637e-9,1.9998122864350876e-5,0.9999394048752874,0.9999399342551872
0.05,16,8,2,0.709054938500432,0.7091920874532006,0.5000024997102647,0.9999873564695033,0.999987364390699,4.684160344653627e-9,2.802951321277772e-10,9.998811486555678e-6,1.1415650116162813e-8,6.835546121004498e-10,9.998911463582335e-6,0.9999697273833535,0.9999698975558018
0.05,17,8,2,0.7090813369860005,0.7091636265270055,0.5000012498488894,0.9999936790468484,0.9999936814231922,1.3627096648098283e-9,8.152001973017655e-11,4.9993932462744076e-6,3.321450679843799e-9,1.9877511239760063e-10,4.99941824028127e-6,0.9999848723690395,0.9999849267276936
0.05,18,8,2,0.7090972792768118,0.7091466530448888,0.5000006249093515,0.9999968397660522,0.9999968404789531,3.964159490489629e-10,2.3710370582368554e-11,2.4996934989696125e-6,9.662937157608654e-10,5.780964914780799e-11,2.499699747304795e-6,0.9999924391448546,0.9999924564148776
0.05,19,8,2,0.7091068962083764,0.7091365205018062,0.500000312432859,0.9999984199555645,0.9999984201694344,1.1531466581135494e-10,6.8964808877793324e-12,1.2498459684984196e-6,2.81101283237608e-10,1.6813889694589222e-11,1.249847530471193e-6,0.9999962205668904,0.9999962260279354
0.05,20,8,2,0.7091126921724175,0.7091304667240504,0.500000156249838,0.9999992099994812,0.9999992100636421,3.3543572690902415e-11,2.005976177074881e-12,6.249227889609798e-7,8.177109312045253e-11,4.8905047107044515e-12,6.249231795374398e-7,0.9999981106133445,0.9999981123331303
0.06,0,8,2,0,0,0,NA,NA,1,1,1,0,0,0,0,1
0.06,1,8,2,0.6187833918061408,0.8869204367171575,0.5488116360940264,0,0.8869204367171575,0.38121660819385916,0.11307956328284252,0.4511883639059736,0.6187833918061408,0.8869204367171575,0.5488116360940264,0.6187833918061408,0.8869204367171575
0.06,2,8,2,0.6045052277103722,0.7890360848768909,0.4743556478507899,0.6104434934149813,0.8400631676609434,0.1507691756506546,0.02385570739055983,0.23716461524261756,0.23044743254320457,0.08922385589228268,0.21402374866335605,0.6081797279045162,0.8342930474241252
0.06,3,8,2,0.6099262228611984,0.7263509775959343,0.44073476930572253,0.813686971333591,0.8838070933830037,0.05881110182215428,0.006528091006184144,0.13263792325618207,0.09195807382850031,0.017327616384375688,0.1045266919864355,0.7338493794247587,0.8577155202714943
0.06,4,8,2,0.6165885082704899,0.688074822918153,0.42325388754761434,0.9017901798493765,0.9248440422885074,0.02254885227988828,0.0020362759431104016,0.07649840660176087,0.036262249542266,0.004491815063073742,0.0561395166544212,0.8258835779695597,0.8911554570946721
0.06,5,8,2,0.6215885679368888,0.6649920636686467,0.41356143635533776,0.9453884019278826,0.9532671988106859,0.008532743482612074,6.821686015025958e-4,0.044861615688642,0.014016108797276206,0.0013541073416078056,0.03163679091311887,0.8890095333793202,0.921890023495179
0.06,6,8,2,0.624910902435541,0.6511225409540514,0.40800312343602524,0.9686794728178508,0.9714309033784199,0.0032005390526419816,2.3799324833315388e-4,0.02655793636528947,0.005332204429970093,4.4417535316944193e-4,0.01830367932335253,0.9305244387815942,0.9464116247151548
0.06,7,8,2,0.6270129751741748,0.6427980161469731,0.40475513771334193,0.9817072367672715,0.9826801142580022,0.001193759539083798,8.501166044822866e-5,0.01580847517437456,0.0020067795135581836,1.529815878849252e-4,0.01074946119091491,0.957064653882143,0.9644663848318278
0.06,8,8,2,0.6283118645595424,0.6378031703723205,0.40283655014061137,0.9891998325226442,0.9895463464902395,4.43706257246317e-4,3.079095389573322e-5,0.00944024357214601,7.50053281837481e-4,5.4220706552495445e-5,0.0063682316022285485,0.9737049827083784,0.9770476398320348
0.06,9,8,2,0.6291044452874045,0.6348063991076686,0.401696040125703,0.9935821640391551,0.9937061162054082,1.6456867841082234e-4,1.1244659328092575e-5,0.005648135111392837,2.7913757883549467e-4,1.9546294567640644e-5,0.0037921084607531732,0.9839982161221671,0.9854685206344
0.06,10,8,2,0.6295846983881627,0.6330084240942484,0.4010155168408767,0.9961715200716051,0.9962159730058385,6.0958756649406225e-5,4.126695247340004e-6,0.003383145290510536,1.0360992176141611e-4,7.1179640807525706e-6,0.002264989820882301,0.990305476978565,0.9909380300033996
0.06,11,8,2,0.629874530251444,0.631929678923862,0.40060855431713516,0.9977108704574131,0.9977268370084245,2.256238844014939e-5,1.518914044671808e-6,0.0020278283466342857,3.8396368209256836e-5,2.6077812026681964e-6,0.0013553169438762502,0.994144872589166,0.9944119941370204
0.06,12,8,2,0.6300490312431453,0.6312824479305452,0.40036486111222097,0.998629378421493,0.9986351185180783,8.346977460901727e-6,5.600502683553036e-7,0.0012159571322746252,1.4215410979247662e-5,9.588637763165044e-7,8.118712143596605e-4,0.9964712935276344,0.9965823496410539
