pin,t,lin,lout,hazard_1,hazard_2,hazard_b,q_1,q_2,q_b,S_1,S_2,S_b,p_1,p_2,p_b
0.07,10,8,2,0.5391466774198039,0.5429159781045249,0.30450482006476043,0.9914897294795391,0.9915593346379012,0.9871567550087575,3.6849809138489166e-4,2.8054823909934153e-5,0.012843244991242451,4.311014196303879e-4,3.332300284846796e-5,0.005623087144141061
0.07,11,8,2,0.5382947528054992,0.540557517297414,0.30313718659725114,0.9940702063965389,0.994099267635266,0.991050020162182,1.7013750237356316e-4,1.288957794896402e-5,0.008949979837817977,1.983605890113285e-4,1.5165245960970134e-5,0.0038932651534244744
0.07,12,8,2,0.5376301427198069,0.538988278150826,0.30218817305111434,0.9958617990997275,0.9958739543844521,0.9937545982182165,7.866645269047291e-5,5.9422465241610475e-6,0.006245401781783454,9.147104968309025e-5,6.947331424802972e-6,0.0027045780560345225
0.07,13,8,2,0.5371230855386482,0.5379381610646762,0.3015278960831307,0.9971091476936766,0.9971142381678192,0.9956377610776715,3.641288489298601e-5,2.74568535636089e-6,0.004362238922328453,4.22535677974869e-5,3.1965611678001576e-6,0.001883162859455001
0.07,14,8,2,0.5367426376170131,0.5372317627901387,0.3010676615340519,0.9979791607027577,0.9979812943836258,0.9969510901490698,1.6868537012280007e-5,1.2706159722960586e-6,0.003048909850930203,1.9544347880706004e-5,1.4750693840648312e-6,0.0013133290713982504
0.07,15,8,2,0.5364608247648253,0.5367543329025152,0.30074645178404547,0.9985867108423334,0.9985876057221857,0.9978680389685465,7.819227734096293e-6,5.88607343711007e-7,0.0021319610314535216,9.049309278183714e-6,6.820086285850516e-7,9.169488194766813e-4
0.07,16,8,2,0.5362541631014409,0.5364302817100989,0.3005220707123851,0.9990113119472335,0.999011687425244,0.998508740312397,3.6261343094489094e-6,2.7286054050747853e-7,0.0014912596876029967,4.1930934246473835e-6,3.1574680320352847e-7,6.407013438505249e-4
0.07,17,8,2,0.536103819559077,0.5362094964457711,0.3003652315262494,0.9993082103268754,0.9993083679185565,0.9989566628737296,1.6821498559191329e-6,1.2655012748204255e-7,0.0010433371262703604,1.9439844535297765e-6,1.4631041302543598e-7,4.479225613326363e-4
0.07,18,8,2,0.5359951492243109,0.5360585577466976,0.3002555553782938,0.9995158865124162,0.9995159526688817,0.9992699306420247,7.805256928781041e-7,5.871184866135809e-8,7.300693579752603e-4,9.016241630410288e-7,6.783827882068446e-8,3.1326776829510006e-4
0.07,19,8,2,0.5359170115989632,0.5359550577125273,0.30017883652669064,0.9996611872306108,0.9996612150069125,0.9994890820124855,3.622286960746604e-7,2.7244936423650748e-8,5.109179875144586e-4,4.182969968034437e-7,3.146691223770734e-8,2.191513704608017e-4
0.07,20,8,2,0.5358610691383859,0.5358838972255282,0.3001251599856223,0.9997628630715171,0.9997628747347974,0.9996424213552279,1.6812443972348941e-7,1.264481371328304e-8,3.5757864477214957e-4,1.94104256351171e-7,1.4600122710367708e-8,1.5333934274230904e-4
0.08,0,8,2,0,0,0,0,1,0,1,1,1,0,0,0
0.08,1,8,2,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.5272924240430485,0.8521437889662113,0.44932896411722156,0.47270757595695145,0.14785621103378865,0.5506710358827784,0.5272924240430485,0.8521437889662113,0.44932896411722156
0.08,2,8,2,0.49455880073832276,0.7157004837890517,0.3529544861568435,0.7216681712247384,0.8434444909071444,0.6436907766286843,0.2389258840917619,0.042035449265689986,0.35630922337131565,0.23378169186518954,0.10582076176809867,0.19436181251146278
0.08,3,8,2,0.48396032135874095,0.6218371148401141,0.3039153689444083,0.8161303028745497,0.865257076080825,0.7519786257078733,0.12329523644579153,0.015896246773305336,0.2480213742921267,0.11563064764597038,0.02613920249238465,0.10828784907918895
0.08,4,8,2,0.4759449105861321,0.5596461228329688,0.2743679780573429,0.8700231365187892,0.8907828262101666,0.8200277486874076,0.06461349615990326,0.006999973899028914,0.17997225131259242,0.05868174028588827,0.008896272874276422,0.06804912297953428
0.08,5,8,2,0.4679206207088669,0.518236617659715,0.2549238621470845,0.904240476231968,0.9132959594802497,0.8659069700713193,0.03437950893059134,0.0033723311018898825,0.13409302992868066,0.03023398722931192,0.003627642797139032,0.04587922138391176
0.08,6,8,2,0.46004819493770654,0.49018171306223585,0.24141567841669875,0.9275962264437367,0.9316369211914657,0.8982791298625025,0.018563277904228036,0.0017192760653524423,0.10172087013749753,0.015816231026363307,0.0016530550365374402,0.03237215979118313
0.08,7,8,2,0.45274669818377516,0.47076996761837986,0.23168539745507716,0.944332917953635,0.9461662606032456,0.9218463700897849,0.010158815125620963,9.098925277394175e-4,0.07815362991021513,0.008404462778607073,8.093835376130247e-4,0.023567240227282404
0.08,8,8,2,0.4462701161119383,0.4570475036098622,0.2244959925845294,0.956723999584386,0.9575662915382978,0.9393915468105626,0.005625239519950382,4.940284193828494e-4,0.060608453189437424,0.004533575605670581,4.1586410835656813e-4,0.017545176720777704
0.08,9,8,2,0.4407023166168294,0.44714818436314835,0.21908500600826397,0.9661018325377103,0.9664925066112784,0.9526699501417221,0.0031461834319837074,2.7312450863201224e-4,0.04733004985827794,0.0024790560879666746,2.2090391075083716e-4,0.013278403331159483
0.08,10,8,2,0.4360181178807208,0.4398747596839455,0.2149562537729462,0.9733067094001291,0.9734892444489612,0.9628438403501443,0.0017743904534626648,1.5298393103371015e-4,0.037156159649855754,0.0013717929785210426,1.2014057759830208e-4,0.010173890208422187
0.08,11,8,2,0.4321359379230106,0.43444435455196195,0.21177303186837312,0.9789003522500518,0.9789861241468555,0.9707125129317795,0.0010076125706139402,8.65209258589481e-5,0.02928748706822049,7.667778828487246e-4,6.646300517476206e-5,0.007868672581635264
0.08,12,8,2,0.4289520288817223,0.43033428421277325,0.20929922734622847,0.9832754399305399,0.983315922715673,0.9768423613460707,5.753951141223627e-4,4.928800516001123e-5,0.023157638653929283,4.3221745649157743e-4,3.723292069893686e-5,0.006129848414291206
0.08,13,8,2,0.4263600255615828,0.4271879937921128,0.20736489329730923,0.9867158527545059,0.9867350265436055,0.9816444426145604,3.3006963855714233e-4,2.823276111769073e-5,0.018355557385439595,2.453254755652204e-4,2.1055244042320502e-5,0.0048020812684896885
0.08,14,8,2,0.4242609056911633,0.42475700606234146,0.2058451325422452,0.9894319880153731,0.9894410942142052,0.985422844757453,1.9003399476173424e-4,1.6240698032467132e-5,0.014577155242546993,1.400356437954081e-4,1.1992063085223599e-5,0.0037784021428926024
0.08,15,8,2,0.42256724966971443,0.4228645774343387,0.20464660964458756,0.9915826731563046,0.9915870073492874,0.9884060101561031,1.0973185225151929e-4,9.373082121729222e-6,0.011593989843896925,8.030214251021495e-5,6.86761591073791e-6,0.0029831653986500672
